Years,Months,Values
2000,January,0
2000,February,0
2000,March,0
2000,April,0
2000,May,0
2000,June,0
2000,July,565
2000,August,2290
2000,September,951
2000,October,835
2000,November,724
2000,December,186
2001,January,0
2001,February,0
2001,March,0
2001,April,0
2001,May,5
2001,June,24
2001,July,152
2001,August,310
2001,September,655
2001,October,611
2001,November,514
2001,December,159
2002,January,0
2002,February,0
2002,March,0
2002,April,0
2002,May,0
2002,June,0
2002,July,566
2002,August,3281
2002,September,1713
2002,October,541
2002,November,121
2002,December,10
2003,January,0
2003,February,0
2003,March,0
2003,April,2
2003,May,1
2003,June,0
2003,July,4
2003,August,4
2003,September,3
2003,October,0
2003,November,372
2003,December,100
2004,January,0
2004,February,0
2004,March,1
2004,April,0
2004,May,1
2004,June,143
2004,July,1209
2004,August,1261
2004,September,511
2004,October,362
2004,November,395
2004,December,51
2005,January,1
2005,February,0
2005,March,0
2005,April,0
2005,May,0
2005,June,2
2005,July,3
2005,August,174
2005,September,337
2005,October,325
2005,November,187
2005,December,19
2006,January,0
2006,February,0
2006,March,0
2006,April,0
2006,May,0
2006,June,100
2006,July,972
2006,August,680
2006,September,211
2006,October,145
2006,November,92
2006,December,0
2007,January,0
2007,February,0
2007,March,0
2007,April,0
2007,May,0
2007,June,0
2007,July,85
2007,August,179
2007,September,163
2007,October,39
2007,November,0
2007,December,0
2008,January,0
2008,February,0
2008,March,0
2008,April,0
2008,May,0
2008,June,160
2008,July,475
2008,August,334
2008,September,184
2008,October,0
2008,November,0
2008,December,0
2009,January,0
2009,February,0
2009,March,0
2009,April,0
2009,May,1
2009,June,0
2009,July,4
2009,August,127
2009,September,188
2009,October,154
2009,November,0
2009,December,0
2010,January,0
2010,February,0
2010,March,0
2010,April,0
2010,May,0
2010,June,0
2010,July,35
2010,August,183
2010,September,165
2010,October,21
2010,November,5
2010,December,0
2011,January,0
2011,February,0
2011,March,0
2011,April,0
2011,May,0
2011,June,61
2011,July,255
2011,August,691
2011,September,193
2011,October,114
2011,November,36
2011,December,9
2012,January,0
2012,February,0
2012,March,0
2012,April,0
2012,May,0
2012,June,16
2012,July,108
2012,August,138
2012,September,262
2012,October,90
2012,November,57
2012,December,0
2013,January,0
2013,February,0
2013,March,0
2013,April,0
2013,May,4
2013,June,44
2013,July,220
2013,August,353
2013,September,495
2013,October,363
2013,November,212
2013,December,58
2014,January,15
2014,February,7
2014,March,2
2014,April,0
2014,May,8
2014,June,9
2014,July,82
2014,August,80
2014,September,76
2014,October,63
2014,November,22
2014,December,11
2015,January,0
2015,February,0
2015,March,2
2015,April,6
2015,May,10
2015,June,28
2015,July,171
2015,August,765
2015,September,965
2015,October,869
2015,November,271
2015,December,75
2016,January,13
2016,February,3
2016,March,17
2016,April,38
2016,May,70
2016,June,254
2016,July,926
2016,August,1451
2016,September,1544
2016,October,1077
2016,November,522
2016,December,145
2017,January,92
2017,February,58
2017,March,36
2017,April,73
2017,May,134
2017,June,267
2017,July,286
2017,August,346
2017,September,430
2017,October,512
2017,November,409
2017,December,126
2018,January,26
2018,February,7
2018,March,19
2018,April,29
2018,May,52
2018,June,295
2018,July,946
2018,August,1796
2018,September,3087
2018,October,2406
2018,November,1192
2018,December,293
2019,January,38
2019,February,18
2019,March,17
2019,April,58
2019,May,193
2019,June,1884
2019,July,16253
2019,August,52636
2019,September,16856
2019,October,8143
2019,November,4011
2019,December,1247
2020,January,199
2020,February,45
2020,March,27
2020,April,25
2020,May,10
2020,June,20
2020,July,23
2020,August,68
2020,September,47
2020,October,164
2020,November,546
2020,December,231
2021,January,32
2021,February,9
2021,March,13
2021,April,3
2021,May,43
2021,June,272
2021,July,2286
2021,August,7698
2021,September,7841
2021,October,5458
2021,November,3567
2021,December,1207
2022,January,126
2022,February,20
2022,March,20
2022,April,23
2022,May,163
2022,June,737
2022,July,1571
2022,August,3521
2022,September,9911
2022,October,21932
2022,November,18908
